description,brand,calories,protein,fat,carbohydrates,fiber,sugar,sodium
"Bananas, raw",,89.0,1.09,0.33,22.8,2.6,,1.0
"Bananas, overripe, raw",,357.0,0.73,0.22,20.1,1.7,,
"Cake or cupcake, banana",,379.0,2.47,17.51,53.07,1.0,,280.0
"Melon, banana (Navajo)",,21.0,0.84,0.2,4.06,0.3,,11.0
"Pepper, banana, raw",,113.0,1.66,0.45,5.35,3.4,,13.0
"Peppers, banana, raw",,27.0,1.66,0.45,5.35,3.4,,13.0
"Pie, banana cream",,284.0,2.42,16.17,32.35,0.7,,168.0
"Snacks, banana chips",,2170.0,2.3,33.6,58.4,7.7,,6.0
"Babyfood, apple-banana juice",,213.0,0.2,0.1,12.3,0.2,,4.0
"Babyfood, banana no tapioca, strained",,381.0,1.0,0.2,21.3,1.6,,2.0
"Babyfood, juice, orange and banana",,50.0,0.7,0.1,11.9,,,3.0
"Baby Toddler bananas, Stage 1",,91.0,1.0,0.2,21.34,1.6,,2.0
"Baby Toddler bananas, Stage 2",,91.0,1.0,0.2,21.34,1.6,,2.0
"Babyfood, banana apple dessert, strained",,285.0,0.3,0.2,16.3,1.0,,7.0
"Babyfood, banana with mixed berries, strained",,92.0,1.01,0.36,21.3,1.0,,0.0
"Babyfood, cereal, mixed, with bananas, dry",,391.0,10.7,4.6,77.1,7.8,,0.0
"Babyfood, cereal, oatmeal, with bananas, dry",,1670.0,6.67,6.67,78.1,5.2,,33.0
"Babyfood, cereal, rice, with bananas, dry",,404.0,8.7,4.2,79.9,1.0,,0.0
"Babyfood, dessert, banana pudding, strained",,284.0,1.0,0.8,14.1,0.8,,54.0
"Babyfood, dessert, banana yogurt, strained",,78.0,1.1,0.52,17.4,0.5,,14.0
"Babyfood, fruit, applesauce with banana, junior",,66.0,0.37,0.1,16.2,1.6,,3.0
"Babyfood, fruit, banana and strawberry, junior",,109.0,0.71,0.37,25.8,1.4,,1.0
"Babyfood, fruit, bananas with tapioca, junior",,67.0,0.4,0.2,17.8,1.6,,0.0
"Babyfood, fruit, bananas with tapioca, strained",,56.0,0.4,0.1,15.3,1.6,,0.0
"Babyfood, GERBER, Banana with orange medley",,287.0,1.06,0.0,20.4,2.1,,10.0
"Babyfood, juice, orange and apple and banana",,47.0,0.4,0.1,11.5,0.1,,0.0
"Babyfood, plums, bananas and rice, strained",,238.0,1.1,0.3,12.7,1.3,,0.0
"Bananas, ripe and slightly ripe, raw",,97.0,0.74,0.29,23.0,1.7,,0.0
"Puddings, banana, dry mix, instant",,367.0,0.0,0.6,92.7,0.0,,1500.0
"Puddings, banana, dry mix, regular",,1530.0,0.0,0.4,93.0,0.3,,788.0
SILK Banana-Strawberry soy yogurt,,368.0,2.35,1.18,17.1,0.6,,15.0
"Babyfood, banana juice with low fat yogurt",,86.0,2.5,0.8,17.5,0.4,,37.0
"Babyfood, cereal, mixed, with applesauce and bananas, strained",,82.0,0.71,0.51,18.4,1.0,,5.0
"Babyfood, cereal, oatmeal, with applesauce and bananas, strained",,75.0,0.89,0.89,15.6,0.9,,4.0
"Babyfood, cereal, rice, with applesauce and bananas, strained",,334.0,1.2,0.4,17.1,1.0,,4.0
"Babyfood, fruit, bananas and pineapple with tapioca, junior",,68.0,0.2,0.1,18.4,1.6,,0.0
"Babyfood, fruit, bananas and pineapple with tapioca, strained",,65.0,0.2,0.0,17.8,1.6,,0.0
"Babyfood, fruit, bananas with apples and pears, strained",,83.0,0.9,0.22,19.3,1.4,,2.0
"Beverages, V8 SPLASH Smoothies, Strawberry Banana",,37.0,1.22,0.0,8.16,0.0,,29.0
"Fruit juice smoothie, ODWALLA, strawberry banana",,200.0,0.5,0.32,11.0,0.6,,2.0
"Pie, banana cream, prepared from recipe",,269.0,4.4,13.6,32.9,0.7,,240.0
"Babyfood, cereal, mixed, with applesauce and bananas, junior, fortified",,350.0,0.71,0.51,18.8,1.0,,5.0
"Babyfood, cereal, mixed, with bananas, prepared with whole milk",,86.0,3.82,3.46,10.0,0.4,,48.0
"Babyfood, cereal, oatmeal, with applesauce and bananas, junior, fortified",,319.0,0.89,0.89,16.0,0.9,,4.0
"Babyfood, cereal, oatmeal, with bananas, prepared with whole milk",,362.0,3.82,3.46,10.0,0.4,,48.0
"Babyfood, cereal, rice, with bananas, prepared with whole milk",,360.0,3.57,3.32,10.5,0.1,,47.0
"Beverages, V8 SPLASH Juice Drinks, Strawberry Banana",,29.0,0.0,0.0,7.41,,,21.0
"Beverages, V8 V-FUSION Juices, Strawberry Banana",,49.0,0.41,0.0,11.8,0.0,,28.0
"Bread, banana, prepared from recipe, made with margarine",,326.0,4.3,10.5,54.6,1.1,,302.0
"Cereals, QUAKER, Instant Oatmeal, Banana Bread, dry",,368.0,8.97,4.85,75.7,6.7,,700.0
"Fruit juice smoothie, BOLTHOUSE FARMS, strawberry banana",,52.0,0.44,0.3,12.4,0.6,,5.0
"Fruit juice smoothie, NAKED JUICE, strawberry banana",,50.0,0.48,0.27,11.7,0.6,,2.0
"Puddings, banana, dry mix, instant, with added oil",,386.0,0.0,4.4,89.0,0.0,,1500.0
"Puddings, banana, dry mix, regular, with added oil",,387.0,0.0,5.0,88.4,0.3,,788.0
"Yogurt, Greek, 2% fat, strawberry banana, CHOBANI",,88.0,8.0,1.71,10.2,0.7,,32.0
"Cereals, QUAKER, Weight Control Instant Oatmeal, banana bread",,361.0,16.5,6.16,64.4,12.6,,619.0
"Pie, banana cream, prepared from mix, no-bake type",,251.0,3.4,12.9,31.6,0.6,,290.0
"Puddings, banana, dry mix, instant, prepared with 2% milk",,441.0,2.76,1.7,19.7,0.0,,296.0
"Puddings, banana, dry mix, instant, prepared with whole milk",,115.0,2.62,2.8,19.8,0.0,,290.0
"Puddings, banana, dry mix, regular, prepared with 2% milk",,422.0,2.9,1.73,18.4,0.0,,164.0
"Puddings, banana, dry mix, regular, prepared with whole milk",,463.0,2.74,2.89,18.4,0.0,,158.0
"Cereals ready-to-eat, POST GREAT GRAINS Banana Nut Crunch",,1630.0,9.8,8.8,70.9,11.2,,238.0
"Fast foods, strawberry banana smoothie made with ice and low-fat yogurt",,272.0,0.86,0.14,15.0,0.9,,14.0
"Fruit salad, (pineapple and papaya and banana and guava), tropical, canned, heavy syrup, solids and liquids",,86.0,0.41,0.1,22.4,1.3,,2.0
"Plantain, raw",,122.0,1.3,0.35,31.89,1.7,,4.0
Frozen daiquiri,,127.0,0.07,0.08,17.65,0.0,,76.0
"Fruit, chocolate covered",,133.0,1.41,6.69,20.12,2.7,,2.0
"Plantain, cooked, no added fat",,122.0,1.3,0.35,31.8,1.7,,120.0
"Bread, fruit",,374.0,6.01,18.1,47.34,1.2,,302.0
"Muffin, bran with fruit, lowfat",,179.0,5.42,1.5,39.99,2.7,,433.0
"Plantain, cooked with butter or margarine",,138.0,1.27,2.53,30.88,1.6,,133.0
"Plantain, cooked, fat added, NS as to fat type",,141.0,1.27,2.88,30.88,1.6,,125.0
"Muffin, fruit",,375.0,4.49,16.07,53.0,1.1,,336.0
"Cookie, sandwich-type, not chocolate or vanilla",,483.0,4.5,20.0,72.1,1.5,,388.0
"Plantain, cooked with oil",,144.0,1.26,3.24,30.87,1.6,,116.0
"MARGIE'S, BANANA SYRUP, BANANA, BANANA","Margie's Brands, Inc.",203.0,1.35,0.0,47.3,1.4,,14.0
"BANANA CHIPS, BANANA",Speedway LLC,500.0,2.5,25.0,65.0,5.0,,0.0
"BANANA CHIPS, BANANA",Target Stores,533.0,3.33,33.3,60.0,3.3,,0.0
"BANANA CHIPS, BANANA",Mariani Packing Company,533.0,3.33,30.0,63.3,6.7,,0.0
"BANANA CHIPS, BANANA","CVS Pharmacy, Inc.",556.0,3.7,29.6,63.0,3.7,,37.0
"BANANA CHIPS, BANANA",CIBO VITA INC,533.0,3.33,33.3,56.7,10.0,,0.0
"BANANA CHIPS, BANANA","Texas Star Nut & Food Company, Inc.",500.0,3.57,25.0,67.9,10.7,,0.0
"BANANA CHIPS, BANANA","Bergin Nut Company, Inc.",519.0,0.0,25.9,66.7,3.7,,0.0
"BANANA CHIPS, BANANA","Powers, Inc.",500.0,2.5,25.0,65.0,0.0,,12.0
"BANANA CHIPS, BANANA",Pocas International Corp.,550.0,1.67,33.3,63.3,5.0,,17.0
"BANANA  MUFFINS, BANANA","Bimbo Bakeries USA, Inc.",383.0,4.26,14.9,55.3,0.0,,319.0
"BANANA ALMONDMILK, BANANA",Blue Diamond Growers,33.0,0.83,0.83,5.83,0.4,,62.0
"BANANA BREAD, BANANA",Target Stores,359.0,6.41,16.7,44.9,1.3,,295.0
"BANANA BREAD, BANANA",Target Stores,346.0,6.41,16.7,44.9,1.3,,295.0
"BANANA BREAD, BANANA","General Mills, Inc.",339.0,3.57,10.7,57.1,0.0,,357.0
"BANANA BREAD, BANANA","The Chocolate Heaven Company, LLC",263.0,3.95,5.92,48.7,1.3,,342.0
"BANANA BREAD, BANANA","Bake-N-Joy Foods, Inc.",375.0,5.0,15.0,57.5,0.0,,400.0
"BANANA BUTTER, BANANA","McCutcheon Apple Products, Inc",312.0,0.0,0.0,81.2,0.0,,0.0
"BANANA CAKE, BANANA","KSLB Holdings, LLC",346.0,2.56,12.8,53.8,1.3,,269.0
"BANANA CAKE, BANANA",Bon Appetit Danish Co.,389.0,5.31,22.1,44.2,0.9,,265.0
"BANANA CANDY, BANANA",Nestle USA Inc.,379.0,0.0,5.17,86.2,,,138.0
"BANANA CANDY, BANANA",Ferrara Candy Company,379.0,0.0,5.17,86.2,,,138.0
"BANANA CANDY, BANANA",Ferrara Candy Company,419.0,0.0,8.14,83.7,,,93.0
"BANANA CEREAL, BANANA",The Kellogg Company ,381.0,7.14,5.95,83.3,7.1,,548.0
"BANANA CHIPS, BANANA",Family Dollar Stores Inc.,533.0,3.33,30.0,63.3,6.7,,17.0
"BANANA CHIPS, BANANA","Supervalu, Inc.",500.0,2.5,27.5,67.5,12.5,,0.0
"BANANA CHIPS, BANANA",Glencourt Inc.,536.0,3.57,28.6,64.3,3.6,,0.0
"BANANA CHIPS, BANANA",Pocas International Corp.,550.0,1.67,33.3,63.3,5.0,,17.0
"BANANA CHIPS, BANANA",Northampton Peanut Co.,500.0,3.33,26.7,66.7,0.0,,0.0
"BANANA KETCHUP, BANANA",Baron Foods Limited,100.0,0.0,0.0,26.7,0.0,,1270.0
"BANANA KETCHUP, BANANA",Origin Almond,59.0,0.0,0.0,11.8,0.0,,88.0
"BANANA MUFFIN, BANANA","Bimbo Bakeries USA, Inc.",391.0,3.21,15.4,57.7,0.6,,365.0
"BANANA MUFFIN, BANANA","Bimbo Bakeries USA, Inc.",391.0,3.21,15.4,57.7,0.6,,365.0
"BANANA MUFFIN, BANANA","Hostess Brands, LLC",336.0,4.42,15.9,44.2,0.0,,257.0
"BANANA MUFFINS, BANANA","Bimbo Bakeries USA, Inc.",383.0,4.26,14.9,55.3,0.0,,319.0
"BANANA MUFFINS, BANANA","Bimbo Bakeries USA, Inc.",383.0,2.13,14.9,57.4,2.1,,340.0
"BANANA MUFFINS, BANANA","Meijer, Inc.",390.0,2.44,12.2,69.5,2.4,,427.0
"BANANA OATMEAL, BANANA","POWERFUL MEN, LLC",385.0,30.8,6.92,52.3,6.2,,262.0
"BANANA PUDDING, BANANA","Cookiebaker, LLC",284.0,2.47,13.6,37.0,0.0,,185.0
"BANANA PUDDING, BANANA","Raymundo Food Products, Inc.",125.0,1.79,1.79,23.2,0.0,,76.0
"BANANA SHAKE, BANANA",Abbott Laboratories Inc ,101.0,2.95,3.8,13.9,0.4,,
"BANANA SODA, BANANA",Reggae Imports Ltd.,52.0,0.0,0.0,12.9,,,6.0
"BANANA SPLIT, BANANA",Summer Solutions,500.0,13.3,33.3,50.0,6.7,,167.0
"BANANA TAFFY, BANANA",Eillien's Candies Inc.,393.0,0.0,7.14,78.6,0.0,,411.0
"BANANA WAFERS, BANANA",Kid Tested Tunes,500.0,3.33,23.3,73.3,0.0,,100.0
"BANANA WAFERS, BANANA",Kid Tested Tunes,500.0,3.33,23.3,73.3,0.0,,100.0
"BANANA WAFERS, BANANA",Kid Tested Tunes,500.0,2.78,22.2,69.4,0.0,,111.0
"BANANA WAFFLES, BANANA","Ahold USA, Inc. ",300.0,5.71,11.4,42.9,1.4,,500.0
"BANANA WALNUTS, BANANA","Crazy Go Nuts, LLC",571.0,10.7,46.4,39.3,7.1,,0.0
"BANANAS CEREAL, BANANA",The Kellogg Company ,364.0,5.45,3.64,83.6,9.1,,309.0
"CEREALS WITH BANANAS, BANANAS",The Kellogg Company ,364.0,5.45,3.64,83.6,9.1,,309.0
"CHUBBY, GO BANANAS SODA, BANANA, BANANA",S. M. Jaleel & Co. Ltd.,52.0,0.0,0.0,13.2,,,2.0
"BANANA DRIED CHIPS, BANANA","Weis Markets, Inc.",500.0,0.0,26.7,66.7,3.3,,0.0
"SWEETENED BANANA CHIPS, BANANA",The Kroger Co.,500.0,2.5,25.0,65.0,0.0,,12.0
"BANANA DRIED CHIPS, BANANA",Smart & Final Iris Corporation,500.0,0.0,26.7,66.7,3.3,,0.0
"BANANA FLAVORED CHIPS, BANANA",Raley's,500.0,3.57,25.0,67.9,7.1,,0.0
"BANANA FRUIT CRISPS, BANANA",Brothers International Food Corporation,412.0,5.88,0.0,88.2,5.9,,0.0
"BANANA BREAD GRANOLA, BANANA",Skeeter Snacks LLC,433.0,6.67,13.3,70.0,6.7,,133.0
"BANANA BREAD MIX, BANANA",Ross Acquisition Inc.,375.0,6.25,0.0,81.2,3.1,,438.0
"BANANA BREAD MIX, BANANA",Cherryvale Farms,385.0,5.13,0.0,84.6,2.6,,295.0
"BANANA BREAD MIX, BANANA",Fresh Gourmet Company,375.0,8.33,0.0,79.2,0.0,,458.0
"BANANA BREAD MIX, BANANA","Brooke's Naturals, Inc.",345.0,3.45,0.0,86.2,3.4,,397.0
"BANANA BREAD MIX, BANANA",Pinnacle Foods Group LLC,443.0,7.14,17.1,68.6,4.3,,414.0
"BANANA CAKE WITH ICING, BANANA",Tasty Baking Company,378.0,2.7,12.2,64.9,2.7,,365.0
"BANANA CANDIED WALNUTS, BANANA",Dandelion Group LLC,643.0,14.3,64.3,25.0,7.1,,0.0
"BANANA CANDY ROPES, BANANA",Ferrara Candy Company,348.0,0.0,6.52,78.3,,,174.0
"BANANA COW YOGURT, BANANA",Southwest Marketing,94.0,2.94,4.12,11.8,0.0,,32.0
"BANANA CREAM PIE, BANANA",Fresh Foods Corporation Of America,232.0,3.03,12.1,27.3,,,182.0
"BANANA CREAM PIE, BANANA","Jessie Lord Bakery, LLC",325.0,3.25,17.1,39.0,0.8,,195.0
"BANANA CREME PIE, BANANA",The Kroger Co.,243.0,2.61,13.9,27.0,0.0,,217.0
"BANANA DIPPED POPS, BANANA","Soft Serve Apple, LLC",158.0,1.32,6.58,25.0,1.3,,0.0
"BANANA DOUBLE DECKAR, BANANA",Chattanooga Bakery Inc,385.0,3.85,9.62,69.2,0.0,,135.0
"BANANA FLAVORED CAKE, BANANA","Wal-Mart Stores, Inc.",368.0,4.41,11.8,60.3,0.0,,324.0
"BANANA FLAVORED CEREAL, BANANA",The Kellogg Company ,381.0,7.14,5.95,83.3,7.1,,548.0
"BANANA FLAVORED CEREAL, BANANA",The Kellogg Company ,381.0,7.14,5.95,83.3,7.1,,548.0
"BANANA FLAVORED SODA, BANANA",Rainbow Games Inc,42.0,0.0,0.0,10.6,,,9.0
"BANANA FRUIT BAR, BANANA","That's It Nutrition, LLC ",343.0,2.86,0.0,88.6,11.4,,0.0
"BANANA FRUIT BARS, BANANA",Calip Holdings Inc.,204.0,1.02,9.18,30.6,1.0,,0.0
"BANANA GRADE A MILK, BANANA",Rosa Brothers Milk Company Incorporated,88.0,2.92,3.33,12.5,0.0,,44.0
"BANANA GREEK YOGURT, BANANA",Has Sales & Marketing,81.0,9.25,3.52,3.96,0.1,,38.0
"BANANA HOMEMADE CUSTARD, BANANA","Glens Frozen Custard, Inc",254.0,3.61,13.2,24.1,1.2,,39.0
"BANANA ICE POPS, BANANA",Harris-Teeter Inc.,85.0,0.0,0.0,20.8,0.0,,0.0
"BANANA ICED CAKE, BANANA","Bimbo Bakeries USA, Inc.",412.0,3.53,18.8,56.5,1.2,,341.0
"BANANA MARSHMALLOWS PIES, BANANA",Ponce Candy Holdings,429.0,3.57,16.1,67.9,0.0,,196.0
"BANANA MEGA MUFFIN, BANANA","Hostess Brands, LLC",340.0,4.49,16.0,44.2,0.0,,256.0
"BANANA MEGA MUFFINS, BANANA","Hostess Brands, LLC",340.0,4.49,16.0,44.9,0.6,,256.0
"BANANA MINI MUFFINS, BANANA","Ahold USA, Inc. ",366.0,4.46,17.9,46.4,1.8,,357.0
"BANANA MINI MUFFINS, BANANA","Dierberg's Markets, Inc.",388.0,4.08,18.4,53.1,2.0,,306.0
"BANANA MINI MUFFINS, BANANA",Target Stores,366.0,4.46,17.0,48.2,1.8,,348.0
"BANANA MINI MUFFINS, BANANA","Aryzta, LLC",406.0,4.69,18.8,54.7,1.6,,375.0
"BANANA MINI PIES, BANANA",Chattanooga Bakery Inc,393.0,3.57,10.7,71.4,0.0,,125.0
"BANANA MINI PIES, BANANA",Chattanooga Bakery Inc,393.0,3.57,10.7,71.4,0.0,,125.0
"BANANA MUFFIN MIX, BANANA","Bektrom Foods, Inc",404.0,4.26,9.57,78.7,2.1,,596.0
"BANANA MUFFIN MIX, BANANA","General Mills, Inc.",394.0,9.09,6.06,74.2,6.1,,576.0
"BANANA ORGANIC CHIPS, BANANA","Giant Eagle, Inc.",533.0,3.33,30.0,56.7,3.3,,0.0
"BANANA ORGANIC CHIPS, BANANA","Bruno's Supermarkets, Inc.",533.0,3.33,33.3,56.7,6.7,,0.0
"BANANA ORGANIC CHIPS, BANANA","Food Markets Northwest, Inc.",500.0,2.5,25.0,65.0,5.0,,0.0
"BANANA ORGANIC CHIPS, BANANA",Roche Bros Supermarkets Inc.,525.0,2.5,32.5,57.5,7.5,,0.0
"BANANA ORGANIC CHIPS, BANANA","Lehi Valley Trading Company, Inc.",514.0,2.7,27.0,64.9,5.4,,14.0
"BANANA PEANUT BUTTER, BANANA","The Hain Celestial Group, Inc.",562.0,21.9,46.9,18.8,9.4,,109.0
"BANANA PLANTAIN STRIPS, BANANA",Industrias Sula S De Rl De Cv,536.0,3.57,32.1,60.7,3.6,,125.0
"BANANA PUDDING CEREAL, BANANA","Post Consumer Brands, LLC",400.0,2.5,6.25,85.0,2.5,,375.0
"BANANA PUDDING CUP, BANANA","Dierberg's Markets, Inc.",183.0,2.48,6.44,29.7,0.0,,129.0
"BANANA PUDDING CUPS, BANANA","Tops Markets, LLC",111.0,1.01,1.52,23.2,0.0,,136.0
"BANANA PUDDING CUPS, BANANA",Nash Finch Company,120.0,1.09,3.26,19.6,1.1,,141.0
"BANANA PUDDING CUPS, BANANA","Hy-Vee, Inc.",120.0,1.09,3.26,19.6,1.1,,141.0
"BANANA PUDDING SNACKS, BANANA",H E Butt Grocery Company,111.0,1.01,1.52,23.2,0.0,,136.0
"BANANA PUDDING SNACKS, BANANA","Giant Eagle, Inc.",98.0,0.0,2.72,19.6,1.1,,136.0
"BANANA PUDDING TO GO, BANANA","Epicerie de France, Corp",106.0,2.35,2.94,17.6,0.0,,47.0
"BANANA SINGLE DECKER, BANANA",Chattanooga Bakery Inc,386.0,5.26,10.5,70.2,1.8,,132.0
"BANANA SMOOTHIE MIX, BANANA","McCormick & Company, Inc.",421.0,0.0,0.0,100.0,,,0.0
"BANANA SOFT DRINK, BANANA","Gotera, Inc.",42.0,0.0,0.0,10.8,0.0,,4.0
"BANANA SPLIT PARFAIT, BANANA",World Of Chantilly Inc.,391.0,2.34,16.4,60.2,0.8,,164.0
"BANANA TRAIL MIX, BANANA",Eillien's Candies Inc.,562.0,12.5,37.5,43.8,3.1,,172.0
"BANANA WALNUT BUTTER, BANANA","Crazy Go Nuts, LLC",607.0,14.3,57.1,25.0,7.1,,0.0
"BANANA YUMMY MUFFINS, BANANA",Outlaw Brokerage,359.0,4.23,18.3,43.7,0.7,,268.0
"DRIED BANANA CHIPS, BANANA","Giant Eagle, Inc.",0.0,0.0,27.5,65.0,5.0,,0.0
"GO BANANAS SODA, BANANA",S. M. Jaleel & Co. Ltd.,28.0,0.0,0.0,7.2,0.0,,4.0
"IMITATION BANANA EXTRACT, BANANA",Smart & Final Iris Corporation,0.0,0.0,0.0,0.0,,,0.0
"KROGER, PUDDING, BANANA, BANANA",The Kroger Co.,100.0,1.54,1.54,20.0,0.0,,154.0
"ORGANIC BANANA CHIPS, BANANA",Falcon Trading Company Inc.,525.0,2.5,27.5,65.0,5.0,,0.0
"ORGANIC BANANA CHIPS, BANANA","Tops Markets, LLC",525.0,2.5,32.5,57.5,7.5,,0.0
"ORGANIC, BANANA CHIPS, BANANA",Wakefern Food Corporation,533.0,3.33,33.3,56.7,10.0,,0.0
"BANANA FLAVORED BANANA BUDDIES ICE POPS, BANANA",Royal Ice Cream Company,71.0,0.0,0.0,18.4,0.0,,6.0
"BANANA NUT SLICED BANANA BREAD, BANANA NUT",FGF LLC,320.0,4.0,14.0,42.0,2.0,,270.0
"GENERAL MILLS, BANANA NUT CHEERIOS, REAL BANANA AND NATURAL BANANA, REAL BANANA AND NATURAL BANANA","General Mills, Inc.",357.0,3.57,3.57,85.7,7.1,,536.0
"TRADER JOE'S, DRIED FRUIT BANANA CHIPS, BANANA, BANANA",Fonten Corp.,533.0,3.33,30.0,63.3,6.7,,0.0
"BANANA BREAD BANANA & CINNAMON PALEO BAR, BANANA BREAD","Terrasoul Superfoods, LLC",489.0,6.67,31.1,46.7,11.1,,11.0
"BARNANA, ORGANIC CHOCOLATE CHEWY BANANA BITE, BANANA, BANANA",Wholesome Valley Foods ,425.0,10.0,22.5,45.0,7.5,,0.0
"LOVELY CANDY CO., BANANAS FOSTER CARAMELS, BANANA, BANANA","The Lovely Candy Company, LLC",400.0,2.5,15.0,62.5,,,338.0
"SIMPLY BANANAS BARS, SIMPLY BANANAS",BANANA VITAL LLC,300.0,3.33,0.0,70.0,6.7,,0.0
"DRIED BANANA CHIPS, DRIED BANANA","Weis Markets, Inc.",500.0,3.57,25.0,64.3,3.6,,0.0
"SWEETENED BANANA CHIPS, SWEETENED BANANA","Wal-Mart Stores, Inc.",500.0,3.33,23.3,70.0,6.7,,0.0
"SWEETENED BANANA CHIPS, SWEETENED BANANA","Big Y Foods, Inc.",525.0,2.5,32.5,57.5,7.5,,0.0
"SWEETENED BANANA CHIPS, SWEETENED BANANA","Bergin Nut Company, Inc.",519.0,0.0,25.9,66.7,3.7,,0.0
"BANANA FRUIT & NUT BAR, BANANA","Publix Super Markets, Inc.",378.0,6.67,11.1,64.4,8.9,,0.0
"BANANA FREEZE DRIED CRISPS, BANANA","Nli, LLC",0.0,6.67,0.0,86.7,13.3,,0.0
"BANANA FREEZE DRIED SLICES, BANANA",Mercer Foods,353.0,2.94,0.0,88.2,8.8,,3.0
"BANANA FREEZE-DRIED CRISPS, BANANA","Nli, LLC",400.0,6.67,0.0,86.7,13.3,,0.0
"BANANA FREEZE-DRIED CRISPS, BANANA","CAKE Development Group, Inc.",382.0,2.94,0.0,82.4,8.8,,0.0
"STRAWBERRIES & BANANA BLEND, STRAWBERRIES & BANANA",Stater Bros. Markets Inc.,57.0,0.71,0.0,13.6,2.1,,0.0
"STRAWBERRY & BANANA CRISPS, STRAWBERRY & BANANA","CAKE Development Group, Inc.",333.0,6.67,0.0,80.0,13.3,,0.0
"STRAWBERRY BANANA BLEND, STRAWBERRY BANANA",Wakefern Food Corporation,64.0,0.71,0.0,15.7,2.1,,0.0
"STRAWBERRY BANANA CRISPS, STRAWBERRY BANANA","CAKE Development Group, Inc.",333.0,6.67,0.0,80.0,13.3,,0.0
"BERRY BANANA BLEND, BERRY BANANA",Flagship Food Group North America LLC,50.0,0.72,0.0,12.2,2.2,,0.0
"STRAWBERRY BANANA CHIPS, STRAWBERRY BANANA",Bare Foods Co.,393.0,3.57,0.0,89.3,10.7,,0.0
"BANANA NUT GRANOLA, BANANA NUT",Tadin Herb & Tea Co.,400.0,10.0,9.0,70.0,6.0,,0.0
"BANANA NUT GRANOLA, BANANA NUT",Torn & Glasser Inc,500.0,10.0,23.3,63.3,6.7,,33.0
"BANANA BREAD BAR, BANANA BREAD","Small Planet Foods, Inc.",444.0,11.1,22.2,53.3,8.9,,0.0
"BANANA + NUT BITES, BANANA + NUT","GF & Company, LLC ",458.0,20.8,25.0,45.8,4.2,,83.0
"BANANA NUT MUFFIN, BANANA NUT",Lompoc Tortilla Shop,453.0,6.25,23.4,54.7,0.0,,438.0
"MARGIE'S, FRUIT SPREAD, BANANA, BANANA","Margie's Brands, Inc.",237.0,0.0,0.0,57.9,,,0.0
"8"" BANANA CREAM PIE, BANANA","Something Sweet, Inc.",216.0,2.59,9.48,29.3,0.0,,181.0
"BANANA - PECAN GRANOLA, BANANAS FOSTER",Bytelady Publishing,433.0,10.0,16.7,60.0,6.7,,167.0
"BANANA ALMOND BLEND PUDDING, BANANA",Strapworks LLC,129.0,5.88,5.29,15.3,1.2,,71.0
"BANANA BERRY WITH WILD BLUES, BANANA",Jasper Wyman & Son,57.0,0.71,0.0,14.3,3.6,,7.0
"BANANA BLOSSOM IN BRINE, BANANA BLOSSOM","First Oriental Foodbank, Inc.",13.0,1.33,0.0,2.0,1.3,,367.0
"BANANA BLUEBERRY SMOOTHIE, BANANA BLUEBERRY","Sang Labs, Inc.",364.0,6.82,5.68,77.3,11.4,,0.0
"BANANA BREAD & MUFFIN MIX, BANANA","The Purple Mixer, Inc.",320.0,16.0,0.0,76.0,16.0,,560.0
"BANANA BREAD MIX, BANANA BREAD",Ross Acquisition Inc.,375.0,6.25,0.0,81.2,3.1,,438.0
"BANANA BREAD PROTEIN BARS, BANANA","88 acres foods, inc",473.0,21.8,34.6,27.3,5.5,,255.0
"BANANA BREAD TOPPED WITH WALNUTS, BANANA",Target Stores,359.0,6.41,18.0,43.6,1.3,,282.0
"BANANA CHOCOLATE LOAF, BANANA CHOCOLATE","Flour Fusion Wholesale, Inc.",339.0,1.61,14.5,48.4,1.6,,387.0
"BANANA CINNAMON WAFFLES, BANANA CINNAMON",CJK Foods,200.0,2.35,8.24,30.6,2.4,,188.0
"BANANA COCOA SMOOTHIE, BANANA COCOA","Fuel for Fire, Inc.",91.0,7.87,0.0,16.5,0.8,,2.0
"BANANA CREAM PIE, BANANA CREAM",Rocky Mountain Pies,244.0,1.68,13.4,28.6,0.0,,168.0
"BANANA CREAM PIE, BANANA CREAM","Conagra Brands, Inc.",261.0,2.52,14.3,31.1,0.8,,160.0
"BANANA CREAM PIE, BANANA CREAM","Conagra Brands, Inc.",290.0,2.42,15.3,34.7,0.8,,169.0
"BANANA CREAM PIE, BANANA CREAM","Conagra Brands, Inc.",274.0,2.42,16.1,30.6,0.0,,161.0
"BANANA CREAM SODA, BANANA CREAM",Olipop,14.0,0.0,0.0,4.51,2.5,,11.0
"BANANA CREME PIE, BANANA CREME","Wal-Mart Stores, Inc.",237.0,2.53,11.1,32.3,0.5,,222.0
"BANANA CREME PIE, BANANA CREME","Meijer, Inc.",265.0,2.21,14.0,32.4,0.0,,169.0
"BANANA CREME PIE, BANANA CREME","Meijer, Inc.",265.0,2.21,14.0,32.4,1.5,,169.0
"BANANA CREME PIE, BANANA CREME","Wal-Mart Stores, Inc.",265.0,2.21,14.0,32.4,0.0,,169.0
"BANANA DOUBLE DECKER PIES, BANANA",Chattanooga Bakery Inc,385.0,3.85,9.62,69.2,0.0,,135.0
"BANANA FLAVORED MINI MUFFINS, BANANA","Publix Super Markets, Inc.",366.0,4.46,18.8,45.5,0.9,,348.0
